Id,OrgId,IncidentId,AlertId,Timestamp,DetectorId,AlertTitle,Category,MitreTechniques,IncidentGrade,ActionGrouped,ActionGranular,EntityType,EvidenceRole,DeviceId,Sha256,IpAddress,Url,AccountSid,AccountUpn,AccountObjectId,AccountName,DeviceName,NetworkMessageId,EmailClusterId,RegistryKey,RegistryValueName,RegistryValueData,ApplicationId,ApplicationName,OAuthApplicationId,ThreatFamily,FileName,FolderPath,ResourceIdName,ResourceType,Roles,OSFamily,OSVersion,AntispamDirection,SuspicionLevel,LastVerdict,CountryCode,State,City,Usage
1228360649769,378,783,39817,2024-06-08T22:30:10.000Z,1,1,InitialAccess,T1566.002,BenignPositive,,,Mailbox,Impacted,98799,138268,360606,160396,32332,31100,32369,36012,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,NoThreatsFound,242,1445,10630,Public
1571958032592,613,3036,17081,2024-06-15T21:14:41.000Z,838,465,CredentialAccess,T1110,TruePositive,,,User,Impacted,98799,138268,360606,160396,51485,90841,52602,26345,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630,Public
489626274159,113,24609,50121,2024-06-08T22:17:24.000Z,1,1,InitialAccess,T1566.002,BenignPositive,,,Url,Related,98799,138268,360606,22,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,Malicious,242,1445,10630,Private
386547060185,35,210,414177,2024-06-10T14:09:04.000Z,0,0,InitialAccess,T1078;T1078.004,TruePositive,,,Ip,Related,98799,138268,31,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,1,0,0,Public
429496732242,40,210245,761114,2024-06-04T07:29:07.000Z,2,2,CommandAndControl,,BenignPositive,,,Machine,Impacted,8369,138268,360606,160396,441377,673934,425863,453297,13775,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,0,0,,Suspicious,Suspicious,242,1445,10630,Public
223338300528,16,31248,37739,2024-06-11T01:45:13.000Z,24,37,Exfiltration,,BenignPositive,,,MailMessage,Impacted,98799,138268,360606,160396,441377,417381,425863,453297,153085,327387,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630,Public
1331439863470,1,50,415642,2024-06-09T18:37:48.000Z,0,0,InitialAccess,T1078;T1078.004,TruePositive,,,Ip,Related,98799,138268,43,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,1,0,0,Public
1357209666166,17,310816,794160,2024-06-12T11:01:07.000Z,20,626,Exfiltration,,FalsePositive,,,User,Impacted,98799,138268,360606,160396,150,211,142,171,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630,Public
1554778161549,79,1367,417162,2024-06-08T06:28:56.000Z,56,40,CredentialAccess,T1003;T1012;T1552.002,FalsePositive,,,RegistryValue,Related,98799,138268,360606,160396,441377,673934,425863,453297,153085,529644,,0,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,Suspicious,Suspicious,242,1445,10630,Public
627065226183,444,9073,25586,2024-06-04T05:16:27.000Z,276,263,SuspiciousActivity,,BenignPositive,,,Process,Related,98799,171,360606,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,76,20,3586,,,5,66,,,,242,1445,10630,Public
